time,time
2024-11-15 12:21:36,21.95904
2024-11-15 12:21:34,7.186722
2024-11-15 12:21:32,8.999967
2024-11-15 12:21:30,11.966847
2024-11-15 12:21:28,13.284209
2024-11-15 12:21:26,6.333492
2024-11-15 12:21:24,19.58612
2024-11-15 12:21:22,28.47975
2024-11-15 12:21:20,26.66668
2024-11-15 12:21:18,19.34814
2024-11-15 12:21:16,13.414843
2024-11-15 12:21:14,5.885653
2024-11-15 12:21:12,19.33242
2024-11-15 12:21:10,9.64158
2024-11-15 12:21:08,11.603684
2024-11-15 12:21:06,8.896348
2024-11-15 12:21:04,3.326794
2024-11-15 12:21:02,7.605926
2024-11-15 12:21:00,18.33984
2024-11-15 12:20:58,14.17604
2024-11-15 12:20:56,10.738188
2024-11-15 12:20:54,6.774789
2024-11-15 12:20:52,24.01117
2024-11-15 12:20:50,14.496408
2024-11-15 12:20:48,11.261489
2024-11-15 12:20:46,12.906398
2024-11-15 12:20:44,7.851876
2024-11-15 12:20:42,4.884533
2024-11-15 12:20:40,7.186714
2024-11-15 12:20:38,8.626548
2024-11-15 12:20:36,5.000088
2024-11-15 12:20:34,4.406625
2024-11-15 12:20:32,4.793595
2024-11-15 12:20:30,14.196586
2024-11-15 12:20:28,30.66922
2024-11-15 12:20:26,31.15981
2024-11-15 12:20:24,13.994018
2024-11-15 12:20:22,2.249092
2024-11-15 12:20:20,4.667306
2024-11-15 12:20:18,6.051275
2024-11-15 12:20:16,5.219184
2024-11-15 12:20:14,7.362596
2024-11-15 12:20:12,10.912345
2024-11-15 12:20:10,21.08485
2024-11-15 12:20:08,2.484388
2024-11-15 12:20:06,2.333396
2024-11-15 12:20:04,5.893569
2024-11-15 12:20:02,7.882039
2024-11-15 12:20:00,4.916467
2024-11-15 12:19:58,18.66677
2024-11-15 12:19:56,9.96353
2024-11-15 12:19:54,3.802196
2024-11-15 12:19:52,3.884598
2024-11-15 12:19:50,5.999988
2024-11-15 12:19:48,5.999888
2024-11-15 12:19:46,4.516539
2024-11-15 12:19:44,4.1923
2024-11-15 12:19:42,5.631678
2024-11-15 12:19:40,14.097267
2024-11-15 12:19:38,5.3333
2024-11-15 12:19:36,8.992277
2024-11-15 12:19:34,12.587856
2024-11-15 12:19:32,12.493186
2024-11-15 12:19:30,4.333303
2024-11-15 12:19:28,3.146608
2024-11-15 12:19:26,2.208848
2024-11-15 12:19:24,0.999991
2024-11-15 12:19:22,1.296687
2024-11-15 12:19:20,1.4011025
2024-11-15 12:19:18,1.5200506
2024-11-15 12:19:16,3.333359
2024-11-15 12:19:14,3.728874
2024-11-15 12:19:12,3.011044
2024-11-15 12:19:10,2.302219
2024-11-15 12:19:08,2.000034
2024-11-15 12:19:06,2.000007
2024-11-15 12:19:04,2.000002
2024-11-15 12:19:02,1.802197
2024-11-15 12:19:00,1.6666477
2024-11-15 12:18:58,1.6666578
2024-11-15 12:18:56,2.457802
2024-11-15 12:18:54,2.406678
2024-11-15 12:18:52,2.140109
2024-11-15 12:18:50,3.359849
2024-11-15 12:18:48,2.000036
2024-11-15 12:18:46,1.4066359
2024-11-15 12:18:44,1.3955519
2024-11-15 12:18:42,1.697755
2024-11-15 12:18:40,1.968881
2024-11-15 12:18:38,1.6666672
2024-11-15 12:18:36,2.457775
2024-11-15 12:18:34,3.197792
2024-11-15 12:18:32,3.582279
2024-11-15 12:18:30,6.000098
2024-11-15 12:18:28,6.59341
2024-11-15 12:18:26,6.626532
2024-11-15 12:18:24,3.140048
2024-11-15 12:18:22,4.593319
2024-11-15 12:18:20,5.297692
2024-11-15 12:18:18,3.333359
2024-11-15 12:18:16,3.135562
2024-11-15 12:18:14,2.953328
2024-11-15 12:18:12,2.453337
2024-11-15 12:18:10,1.999991
2024-11-15 12:18:08,1.999998
2024-11-15 12:18:06,1.953315
2024-11-15 12:18:04,1.686697
2024-11-15 12:18:02,3.733449
2024-11-15 12:18:00,5.859823
2024-11-15 12:17:58,4.422213
2024-11-15 12:17:56,3.666698
2024-11-15 12:17:54,3.468902
2024-11-15 12:17:52,3.582289
2024-11-15 12:17:50,5.657728
2024-11-15 12:17:48,2.333368
2024-11-15 12:17:46,1.739954
2024-11-15 12:17:44,1.3021974
2024-11-15 12:17:42,1.062235
2024-11-15 12:17:40,1.6666556
2024-11-15 12:17:38,4.23788
2024-11-15 12:17:36,5.859978
2024-11-15 12:17:34,4.297717
2024-11-15 12:17:32,2.333352
2024-11-15 12:17:30,2.926698
2024-11-15 12:17:28,3.348866
2024-11-15 12:17:26,3.39104
2024-11-15 12:17:24,2.33334
2024-11-15 12:17:22,2.531145
2024-11-15 12:17:20,2.697825
2024-11-15 12:17:18,2.906587
2024-11-15 12:17:16,2.000055
2024-11-15 12:17:14,1.703308
2024-11-15 12:17:12,1.79667
2024-11-15 12:17:10,1.802214
2024-11-15 12:17:08,1.884513
2024-11-15 12:17:06,4.000057
2024-11-15 12:17:04,4.000015
2024-11-15 12:17:02,2.516534
2024-11-15 12:17:00,1.5988881
2024-11-15 12:16:58,1.697791
2024-11-15 12:16:56,2.140042
2024-11-15 12:16:54,3.391082
2024-11-15 12:16:52,2.333318
2024-11-15 12:16:50,1.838855
2024-11-15 12:16:48,3.576763
2024-11-15 12:16:46,5.791271
2024-11-15 12:16:44,6.162217
2024-11-15 12:16:42,4.266384
2024-11-15 12:16:40,2.000005
2024-11-15 12:16:38,2.000039
2024-11-15 12:16:36,1.703308
2024-11-15 12:16:34,2.587788
2024-11-15 12:16:32,3.17778
2024-11-15 12:16:30,1.6666472
2024-11-15 12:16:28,1.864433
2024-11-15 12:16:26,1.802222
2024-11-15 12:16:24,1.760006
2024-11-15 12:16:22,2.666663
2024-11-15 12:16:20,2.864443
2024-11-15 12:16:18,3.395558
2024-11-15 12:16:16,3.542223
2024-11-15 12:16:14,2.333342
2024-11-15 12:16:12,2.135555
2024-11-15 12:16:10,2.593348
2024-11-15 12:16:08,3.197779
2024-11-15 12:16:06,3.208872
2024-11-15 12:16:04,2.000037
2024-11-15 12:16:02,3.780018
2024-11-15 12:16:00,3.516599
2024-11-15 12:15:58,3.093326
2024-11-15 12:15:56,2.412227
2024-11-15 12:15:54,1.946672
